               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,             0.02519,             0.01385,                   0,             0.88058,             0.85981,             0.87012,             0.47407,             0.02559,            0.015734,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.025349,            0.014056,                   0,             0.90149,             0.88037,              0.8983,             0.48539,            0.024445,            0.015748,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.025129,            0.014074,                   0,             0.88647,             0.86168,             0.86805,             0.47621,            0.023904,            0.015301,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.025458,            0.014192,                   0,             0.88512,             0.85234,              0.8727,             0.47999,            0.023381,            0.015372,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.024552,            0.013478,                   0,             0.87665,             0.85234,             0.86644,             0.47896,            0.023807,            0.015298,                   0,            0.004753,            0.004753,            0.004753
                  55,             0.02521,            0.013793,                   0,             0.86586,              0.8566,             0.86367,             0.47011,            0.023876,            0.015493,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.024318,            0.014083,                   0,             0.90302,             0.87103,             0.88814,             0.48716,            0.023898,            0.015585,                   0,            0.004555,            0.004555,            0.004555
                  57,             0.02375,             0.01292,                   0,             0.90648,             0.86966,             0.89463,             0.49452,            0.023322,            0.015328,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.024226,            0.014232,                   0,             0.90672,             0.87215,             0.89522,             0.49025,            0.023137,            0.015419,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.023485,            0.013979,                   0,             0.89851,             0.87704,             0.89059,             0.48421,            0.022943,            0.015311,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.023072,            0.013299,                   0,             0.88132,             0.87664,             0.88407,              0.4868,            0.023439,            0.015279,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.022214,            0.012473,                   0,             0.89245,             0.86855,              0.8794,             0.48811,            0.022367,             0.01513,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.023859,            0.013618,                   0,             0.87932,             0.86355,             0.88305,             0.48478,            0.023065,            0.015379,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.023316,            0.013308,                   0,             0.88412,             0.86168,             0.87845,              0.4858,            0.023131,            0.015457,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.022689,            0.012732,                   0,              0.8967,             0.88037,             0.89105,             0.49035,            0.022247,            0.015251,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.021503,            0.012131,                   0,              0.9024,             0.87477,             0.88909,             0.49724,            0.023376,            0.015594,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.023172,             0.01276,                   0,              0.8907,             0.86826,             0.88461,             0.49475,            0.022393,            0.015492,                   0,            0.003565,            0.003565,            0.003565
                  67,             0.02349,            0.013533,                   0,             0.88858,             0.86457,             0.88914,             0.49539,            0.023042,            0.015504,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.023401,            0.014053,                   0,             0.89166,             0.86729,             0.89614,              0.4952,            0.022244,            0.015131,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.022062,            0.012831,                   0,             0.88528,             0.86916,             0.88178,             0.49205,             0.02252,            0.015272,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.022105,            0.012345,                   0,             0.88756,              0.8729,             0.88971,             0.49601,             0.02195,            0.015251,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.022125,            0.012985,                   0,             0.88336,             0.87103,             0.88582,             0.49395,            0.022691,            0.015337,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.020916,            0.011873,                   0,             0.89273,             0.83998,             0.87673,             0.49467,            0.022329,            0.015228,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.020856,            0.012736,                   0,              0.8791,             0.86987,             0.89133,             0.50172,            0.022421,            0.015002,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.020909,            0.013089,                   0,              0.8894,             0.87176,             0.88903,             0.49648,            0.021925,            0.015045,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.022169,            0.013224,                   0,             0.89185,             0.86315,             0.88913,             0.49694,            0.021939,            0.014991,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.020904,            0.013184,                   0,             0.88028,             0.86916,             0.88369,             0.49686,            0.022191,            0.015142,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.021296,            0.012699,                   0,             0.87822,             0.87616,             0.88478,             0.49516,            0.022079,            0.015092,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.020878,            0.012541,                   0,             0.88501,             0.86316,             0.87435,             0.49303,            0.021745,            0.014993,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.020494,            0.012458,                   0,             0.89344,             0.86191,             0.88729,              0.4915,            0.021807,            0.015131,                   0,            0.002278,            0.002278,            0.002278
                  80,             0.02079,            0.013188,                   0,             0.88505,             0.86168,             0.87863,             0.49238,            0.021828,             0.01516,                   0,            0.002179,            0.002179,            0.002179
                  81,             0.02086,            0.012464,                   0,             0.88854,             0.86423,             0.88261,             0.49581,             0.02178,            0.015059,                   0,             0.00208,             0.00208,             0.00208
                  82,             0.01999,            0.012089,                   0,             0.87356,             0.85794,             0.86598,             0.49395,            0.021447,            0.015148,                   0,            0.001981,            0.001981,            0.001981
